,event_id,event_date,event_year,event_month,event_time,event_hour,event_am_pm,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,caused_fatalities,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude
10615,10970,2017-02-09 17:05:00,2017,February,17:05:00,17,PM,landslide,mining,medium,mine,9.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,96.3086022,25.61953667
10616,10905,2017-04-23 18:27:00,2017,April,18:27:00,18,PM,landslide,rain,medium,unknown,2.0,2.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,72.88352146,41.16099153
10617,11215,2017-03-07 19:24:00,2017,March,19:24:00,19,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-1.855263,53.717863
10618,10309,2017-05-09 13:28:00,2017,May,13:28:00,13,PM,rock_fall,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-104.9903631,38.92225016
10619,10655,2016-12-12 14:22:00,2016,December,14:22:00,14,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-82.801658,37.785693
10620,10852,2017-04-08 13:19:00,2017,April,13:19:00,13,PM,landslide,continuous_rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,74.9648329,32.95544044
10621,10618,2017-02-09 22:29:00,2017,February,22:29:00,22,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-122.25385,47.51576386
10623,10306,2017-05-10 13:28:00,2017,May,13:28:00,13,PM,landslide,downpour,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-105.5960863,40.37779708
10624,10660,2017-03-01 16:06:00,2017,March,16:06:00,16,PM,mudslide,downpour,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-82.984168,39.243182
10625,10474,2017-03-16 13:48:00,2017,March,13:48:00,13,PM,mudslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-119.082588,50.7920428
10626,10315,2017-02-19 22:04:00,2017,February,22:04:00,22,PM,mudslide,snowfall_snowmelt,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-112.1143653,41.78166509
10627,11118,2017-02-17 21:37:00,2017,February,21:37:00,21,PM,landslide,downpour,unknown,natural_slope,4.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,115.294324,-8.24510133
10628,10786,2017-03-17 15:55:00,2017,March,15:55:00,15,PM,landslide,continuous_rain,medium,above_road,7.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,-78.57489565,-7.954477139
10629,10525,2017-02-16 14:17:00,2017,February,14:17:00,14,PM,landslide,rain,medium,below_road,0.0,1.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-118.7098838,46.95593447
10630,10566,2017-03-18 20:58:00,2017,March,20:58:00,20,PM,landslide,rain,small,below_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-115.597912,46.12337387
10631,11024,2017-01-31 19:27:00,2017,January,19:27:00,19,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,100.2822934,5.390741506
10632,10834,2017-03-10 17:22:00,2017,March,17:22:00,17,PM,landslide,rain,unknown,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,75.193916,33.370552
10633,10612,2017-03-16 15:47:00,2017,March,15:47:00,15,PM,landslide,rain,medium,below_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-122.347205,47.418594
10634,10305,2017-07-07 13:16:00,2017,July,13:16:00,13,PM,rock_fall,no_apparent_trigger,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-106.123089,40.06193208
10635,10342,2017-05-12 13:28:00,2017,May,13:28:00,13,PM,landslide,continuous_rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-90.38634348,38.34492599
10636,10733,2017-01-31 20:07:00,2017,January,20:07:00,20,PM,landslide,rain,large,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,29.26724852,-20.54287599
10637,10978,2017-04-04 12:57:00,2017,April,12:57:00,12,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,93.04681,25.132228
10638,11165,2017-07-09 13:23:00,2017,July,13:23:00,13,PM,landslide,continuous_rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,93.61882043,27.092916
10639,10698,2017-01-24 21:52:00,2017,January,21:52:00,21,PM,landslide,downpour,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-155.0889266,19.73070321
10640,11017,2017-03-25 17:32:00,2017,March,17:32:00,17,PM,landslide,other,medium,above_river,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,105.006749,11.36244543
10641,11064,2017-03-30 15:08:00,2017,March,15:08:00,15,PM,landslide,tropical_cyclone,small,below_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,148.9364121,-21.31845152
10642,10489,2017-05-14 14:05:00,2017,May,14:05:00,14,PM,landslide,rain,small,above_coast,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-119.4930924,50.19521099
10643,10313,2017-04-14 17:55:00,2017,April,17:55:00,17,PM,landslide,rain,small,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-107.017168,37.25520686
10644,10572,2017-02-08 15:28:00,2017,February,15:28:00,15,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-122.7867427,45.54554329
